dataset,item_id,category,question,faithfulness,answer_relevancy,context_precision
MultiHop-RAG,multihop_4,inference_query,"Which company, known for its e-reader lineup dominance and hosting sale events like Prime-themed and Cyber Monday sales that feature deals from Black Friday, provides a platform described by sellers as a life-changing opportunity, and has been covered by Wired, Mashable, The Verge, and Cnbc | World Business News Leader?",0.4,0.3697855211820783,0.9999999999666668
MultiHop-RAG,multihop_5,comparison_query,"Does the TechCrunch article suggest that ""People's preferences regarding social media content"" will shift towards uncurated experiences, while The Roar | Sports Writers Blog indicates that ""Michael Cheika"" values past experiences, curated or not, for preparation?",0.8333333333333334,0.5696302775724589,0.3333333333
MultiHop-RAG,multihop_6,comparison_query,"Does the TechCrunch article on GPT-4 suggest a different level of susceptibility to producing toxic text compared to other large language models, while the TechCrunch article on the European Commission's probe into Elon Musk’s X focuses on concerns about illegal content and disinformation in a different context?",1.0,0.570213109111906,0.9999999999666668
MultiHop-RAG,multihop_7,comparison_query,"Does the TechCrunch article on Meta's GDPR compliance concerns suggest a different legal issue than the TechCrunch article on Meta's responsibility for teen social media monitoring, and does it also differ from the TechCrunch article on Meta's moderation bias affecting Palestinian voices?",0.5,0.4230230971500386,0.9999999999
MultiHop-RAG,multihop_8,comparison_query,"Does the article from 'The Independent - Sports' attribute the scoring of Newcastle's goal to 'Joelinton', while 'The Guardian' reports 'Eintracht Frankfurt' as the team responsible for scoring five goals against Bayern Munich?",0.6666666666666666,0.5314733200327856,0.0
MultiHop-RAG,multihop_9,comparison_query,"Does the TechCrunch article discussing Meta's moderation bias problem suggest a different impact on users compared to the TechCrunch article on Meta's proposed legislation for teen app downloads, with the former affecting Palestinian voices and the latter concerning parental oversight of teen social media usage?",0.2,0.332808223831588,0.9999999999
MultiHop-RAG,multihop_10,temporal_query,"Between the Polygon article published on December 6, 2023, discussing the role-playing elements of ""Warhammer 40,000: Rogue Trader"" and The New York Times report on December 9, 2023, about Shohei Ohtani's free agency, which news source provided information on the player's freedom to make narrative-affecting choices in the game, Polygon or The New York Times?",1.0,0.685469056601452,0.0
MultiHop-RAG,multihop_11,temporal_query,"Between the Sporting News report on Jim Harbaugh's situation published on November 6, 2023, and the subsequent report on Michigan's performance with Jim Harbaugh against Penn State published on November 11, 2023, was there a change in the reporting regarding Jim Harbaugh's absence from the team?",0.75,0.8661632915408931,0.9999999999666668
MultiHop-RAG,multihop_12,temporal_query,"After The Sydney Morning Herald reported on September 26, 2023, that Amazon's stock fell by 4 percent due to an antitrust lawsuit filed by the Federal Trade Commission and 17 state attorneys general, did Fortune report a larger or smaller percentage decrease for Rogers Communications Inc. shares following a family lawsuit on October 12, 2023?",0.0,0.7141948571692497,0.3333333333
MultiHop-RAG,multihop_13,temporal_query,"Between the TechCrunch report on Sam Bankman-Fried after October 2, 2023, and the Fortune report on Sam Bankman-Fried, was there consistency in the portrayal of Sam Bankman-Fried's actions related to the charges against him?",0.6153846153846154,0.7799093128629279,0.9999999999
MultiHop-RAG,multihop_14,temporal_query,"Did President Ferdinand Marcos, Jr. express no concern about the Philippines' debt-to-GDP ratio in Business World on October 8, 2023, and did the implications of rising national debt on private investment discussed in Business World on November 5, 2023, contradict his views?",0.0,0.0,0.0
FinanceBench,financebench_id_00746,Information extraction,Which debt securities are registered to trade on a national securities exchange under Ulta Beauty's name as of FY2023?,1.0,0.1547183103806012,0.9999999999
FinanceBench,financebench_id_07661,Information extraction,"Using the cash flow statement, answer the following question to the best of your abilities: how much did Block (formerly known as Square) generate in cash flow from operating activities in FY2020? Answer in USD millions.",1.0,0.2442094297145583,0.9999999999
FinanceBench,financebench_id_03531,Information extraction,"According to the details clearly outlined within the balance sheet, how much total current assets did Nike have at the end of FY2019? Answer in USD millions.",1.0,0.3215090872928082,0.9999999999
FinanceBench,financebench_id_01091,Information extraction,Has Boeing reported any materially important ongoing legal battles from FY2022?,0.75,0.6257481073804082,0.0
FinanceBench,financebench_id_00995,Information extraction,What are the major products and services that AMD sells as of FY22?,1.0,0.7851184492866111,0.9999999999
FinanceBench,financebench_id_01198,Information extraction,What drove revenue change as of the FY22 for AMD?,1.0,0.6731970812682765,0.9999999999
FinanceBench,financebench_id_04209,Information extraction,"Using only the information within the balance sheet, how much total assets did Costco have at the end of FY2021? Answer in USD millions.",1.0,0.3538580180870198,0.9999999999
FinanceBench,financebench_id_01244,Information extraction,Has CVS Health paid dividends to common shareholders in Q2 of FY2022?,0.0,0.7875179231617273,0.9999999999
FinanceBench,financebench_id_01346,Numerical reasoning,How much has the effective tax rate of Corning changed between FY2021 and FY2022?,1.0,0.9639432456122486,0.9999999999
FinanceBench,financebench_id_00222,Numerical reasoning,"Does AMD have a reasonably healthy liquidity profile based on its quick ratio for FY22? If the quick ratio is not relevant to measure liquidity, please state that and explain why.",0.75,0.2787225433035863,0.9999999999
FinanceBench,financebench_id_07966,Numerical reasoning,What is the FY2017 - FY2019 3 year average of capex as a % of revenue for Activision Blizzard? Answer in units of percents and round to one decimal place. Calculate (or extract) the answer from the statement of income and the cash flow statement.,0.6666666666666666,0.3544944560497066,0.99999999995
FinanceBench,financebench_id_00540,Numerical reasoning,Roughly how many times has AES Corporation sold its inventory in FY2022? Calculate inventory turnover ratio for the FY2022; if conventional inventory management is not meaningful for the company then state that and explain why.,0.0,0.6403063803890604,0.49999999995
FinanceBench,financebench_id_00669,Numerical reasoning,"What drove gross margin change as of FY2022 for JnJ? If gross margin is not a useful metric for a company like this, then please state that and explain why.",1.0,0.8815970412362072,0.9999999999
FinanceBench,financebench_id_04103,Numerical reasoning,What is the FY2019 cash conversion cycle (CCC) for General Mills? CCC is defined as: DIO + DSO - DPO. DIO is defined as: 365 * (average inventory between FY2018 and FY2019) / (FY2019 COGS). DSO is defined as: 365 * (average accounts receivable between FY2018 and FY2019) / (FY2019 Revenue). DPO is defined as: 365 * (average accounts payable between FY2018 and FY2019) / (FY2019 COGS + change in inventory between FY2018 and FY2019). Round your answer to two decimal places. Address the question by using the line items and information shown within the income statement and the balance sheet.,0.9166666666666666,0.1878908097386658,0.99999999995
FinanceBench,financebench_id_00216,Numerical reasoning,"Does Verizon have a reasonably healthy liquidity profile based on its quick ratio for FY 2022? If the quick ratio is not relevant to measure liquidity, please state that and explain why.",1.0,0.8305022128755519,0.9999999999
FinanceBench,financebench_id_04735,Numerical reasoning,You are an investment banker and your only resource(s) to answer the following question is (are): the statement of financial position and the cash flow statement. Here's the question: what is the FY2015 operating cash flow ratio for Adobe? Operating cash flow ratio is defined as: cash from operations / total current liabilities. Round your answer to two decimal places.,1.0,0.241944310432172,0.99999999995
